City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
205,Pacific Grove,US,63.01,36.6177,-121.9166,Lovers Point Inn
206,Marsh Harbour,BS,60.06,26.5412,-77.0636,Abaco Beach Resort
207,Airai,TL,66.16,-8.9266,125.4092,Foho Tailau
208,Guaruja,BR,76.6,-23.9931,-46.2564,Charme Hotel Guarujá
209,Salalah,OM,68.09,17.0151,54.0924,Al Jabal
210,Kakching,IN,49.78,24.4833,93.9833,Kabi zz
211,Faanui,PF,80.65,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
212,Mandalay,MM,50.09,21.9747,96.0836,Hotel Yadanarbon
213,Mackay,AU,88.68,-21.15,149.2,Windmill Motel and Events Centre
216,Port Hedland,AU,89.65,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
218,Tiznit,MA,57.63,29.5833,-9.5,عين اغبالو
219,Safford,US,61.05,32.834,-109.7076,HWY. EXPRESS INN & SUITES
220,Quito,EC,50.95,-0.2299,-78.5249,Hotel Boutique Plaza Sucre
221,Archidona,ES,50.92,37.0965,-4.3887,Hotel Rural La Paloma
222,Skjervoy,NO,27.84,70.0311,20.9714,Skjervøy Byggeservice AS
223,Oranjestad,AW,78.3,12.524,-70.027,Holiday Inn Resort Aruba-Beach Resort & Casino
226,Wajid,SO,70.81,3.8093,43.2471,xamdihotelresturant114
227,Bereda,ES,45.91,43.2686,-7.5406,Pazo de Verdes
228,Bluff,NZ,59.32,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
229,Lata,PT,47.05,40.1629,-8.3327,Hotel Quinta das Lágrimas
230,Nagato,JP,46.2,34.3833,131.2,Yumoto Kanko Hotel Saikyo
231,Kodiak,US,35.11,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
232,Vardo,NO,22.71,70.3705,31.1107,Vardø Hotel AS
233,Ixtapa,MX,75.22,20.7,-105.2,Hotel Plaza Providencia
234,Udankudi,IN,75.38,8.4333,78.0167,Manapad Surf Resort
235,Asau,RO,34.39,46.4333,26.4,Casa Mika Ciobanus
237,Marondera,ZW,59.25,-18.1853,31.5519,Zambesi Holidays Centre
238,Dharchula,IN,43.03,29.85,80.5333,Mahara Hotel
239,Sitka,US,37.29,57.0531,-135.33,Westmark Sitka
240,Sao Marcos,BR,62.2,-28.9711,-51.0681,Hotel São Marcos
241,Krasnoarmeysk,RU,32.07,51.0239,45.6969,"Hotel ""Your home-Balzer"""
242,Vega De Alatorre,MX,58.98,20.0333,-96.6333,Hotel Deluxe
243,Damghan,IR,32.18,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
244,Biak,ID,81.34,-0.9131,122.8766,Ramayana Beach Hotel
